Id,customer.id,credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,pub.rec,inq.last.6mths,delinq.2yrs,paid.back.loan
6269,LA006270,Yes,debt_consolidation,12.53%,689.41,11.51372515,14.45,722,4291.0,13171,51.8,0,Less than 5,No,Yes
1460,LA001461,Yes,credit_card,10.20%,485.42,10.3155972,12.87,752,5789.958333,14857,31.3,0,Less than 5,Yes,Yes
5539,LA005540,Yes,debt_consolidation,12.87%,121.08,11.23843599,1.58,692,3391.0,12135,85.5,0,Less than 5,No,Yes
9020,LA009021,No,all_other,15.37%,348.47,11.1420067,11.01,687,5370.0,10631,35.3,0,Less than 10,No,Yes
4365,LA004366,Yes,debt_consolidation,14.61%,344.76,10.30895266,11.36,672,2429.958333,10544,57.0,0,Less than 5,Yes,Yes
6735,LA006736,Yes,debt_consolidation,11.48%,692.34,11.22524339,15.63,747,7680.0,23860,55.5,0,Less than 5,No,Yes
2513,LA002514,Yes,home_improvement,8.00%,31.34,11.12726298,9.21,742,6480.0,4434,16.9,0,Less than 5,No,Yes
2150,LA002151,Yes,debt_consolidation,12.84%,228.61,10.87804719,11.59,707,2046.0416670000002,7398,70.5,0,Less than 5,No,Yes
2845,LA002846,Yes,all_other,9.63%,144.43,10.54534144,0.82,747,6870.0,752,27.9,0,Less than 5,No,No
7244,LA007245,Yes,credit_card,10.25%,485.78,11.184421400000002,23.85,737,3810.041667,27801,49.4,0,Less than 5,No,Yes
685,LA00686,Yes,all_other,11.03%,327.53,10.42228135,2.61,697,2370.041667,2952,30.1,0,Less than 5,No,Yes
2352,LA002353,Yes,debt_consolidation,12.21%,106.61,9.903487553,5.04,722,5280.041667,3246,22.2,1,Less than 5,No,Yes
8550,LA008551,No,all_other,14.82%,242.05,10.645424900000002,11.14,642,1260.0,14902,80.1,0,Less than 5,No,Yes
1631,LA001632,Yes,debt_consolidation,12.09%,359.18,10.57867441,5.53,697,1650.041667,14922,43.8,0,Less than 5,No,No
